# BEAST v1.9.0pre20161204 Prerelease #5657174
# Generated Tue Feb 21 14:19:07 GMT 2017 [seed=666]
# -seed 666 -beagle_cuda -beagle_double -beagle_order 1 -threshold 0.1 metazoan.xml
state	posterior	prior	likelihood	treeModel.rootHeight	yule.birthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
435000	-854106.7869977056	-186.2049224044026	-853920.5820753012	0.3265777031282163	6.080478255344688	0.4868886240760255	1.0	1.0	-853920.5820753012	0.0	44.33421696259409
440000	-854109.3829050392	-188.82011036751175	-853920.5627946717	0.3275199051176095	4.542028130689378	0.4893220462993673	1.0	1.0	-853920.5627946717	0.0	41.72389584393162
445000	-854105.2235651151	-187.04300725312896	-853918.180557862	0.3299230976751718	7.205900209972944	0.49028988360730275	1.0	1.0	-853918.180557862	0.0	43.50293463293026
450000	-854097.6865992001	-186.4732664581574	-853911.213332742	0.33191461906520814	6.388812228759949	0.4832777309766574	1.0	1.0	-853911.213332742	0.0	44.058651122640526
455000	-854098.8912259025	-186.20732994915124	-853912.6838959533	0.33008950971091755	6.507510412514527	0.4915202905810041	1.0	1.0	-853912.6838959533	0.0	44.3410727508554
460000	-854095.9732267843	-186.2740581419359	-853909.6991686423	0.3274117333373258	6.814789042183634	0.48662048992873064	1.0	1.0	-853909.6991686423	0.0	44.26454495676617
465000	-854093.1562653085	-186.78032747130166	-853906.3759378372	0.3268985182154999	5.280896872263114	0.48662048992873064	1.0	1.0	-853906.3759378372	0.0	43.758275627400415
470000	-854099.9665131717	-186.00182962032872	-853913.9646835513	0.3266272316996934	6.227161322878229	0.4811241728602326	1.0	1.0	-853913.9646835513	0.0	44.52578084423638
475000	-854095.8735863754	-186.3230777075962	-853909.5505086678	0.32743367245725574	5.842008830381202	0.48873986876225944	1.0	1.0	-853909.5505086678	0.0	44.21976414877297
480000	-854100.4878089129	-186.29176301876925	-853914.1960458941	0.32967220830194566	5.701899368574998	0.48908197438167184	1.0	1.0	-853914.1960458941	0.0	44.25176304883873
485000	-854108.5118294791	-186.25507066128597	-853922.2567588178	0.33055115917544736	6.493418032796164	0.48922255741428794	1.0	1.0	-853922.2567588178	0.0	44.28873657238724
490000	-854105.4143915378	-186.44133407181477	-853918.973057466	0.32946144521901893	6.802833775403918	0.47976552472514783	1.0	1.0	-853918.973057466	0.0	44.08355909648017
495000	-854105.8885188587	-186.66437075675648	-853919.224148102	0.32896065916830725	5.65727745058297	0.47976552472514783	1.0	1.0	-853919.224148102	0.0	43.86052241153846
500000	-854115.2591020805	-186.5801995149397	-853928.6789025655	0.3308466748611919	5.595250416993564	0.4852980653634599	1.0	1.0	-853928.6789025655	0.0	43.95575873463187
505000	-854106.5078288353	-187.46632759824513	-853919.0415012371	0.3321069254994851	5.061297600674936	0.48841553092015344	1.0	1.0	-853919.0415012371	0.0	43.07586558243982
510000	-854097.3413412289	-186.86580653983054	-853910.4755346891	0.3314696792820968	5.472609107635295	0.48879912606622317	1.0	1.0	-853910.4755346891	0.0	43.67715383114655
515000	-854104.2439740256	-186.3384444750871	-853917.9055295505	0.3309878333817779	6.104542345105316	0.48582897774107586	1.0	1.0	-853917.9055295505	0.0	44.198575599239696
520000	-854105.3298472957	-186.7416825117655	-853918.5881647839	0.33310447663353343	6.952867358727465	0.48988165982082177	1.0	1.0	-853918.5881647839	0.0	43.803442926720784
525000	-854108.6479269807	-186.3046080084846	-853922.3433189723	0.32774537427562944	5.856412058920206	0.4831975135561648	1.0	1.0	-853922.3433189723	0.0	44.22714913747236
530000	-854095.9380050686	-186.66096035791531	-853909.2770447107	0.32716398243242567	5.330027392282925	0.48695901665548663	1.0	1.0	-853909.2770447107	0.0	43.87831979424029
535000	-854100.793740664	-186.28229221332722	-853914.5114484507	0.32640528218515946	5.6950153197898175	0.48404203560530307	1.0	1.0	-853914.5114484507	0.0	44.251153976728006
540000	-854098.3218702689	-186.21724178720496	-853912.1046284817	0.32843613531905475	6.436901309145823	0.48254711775662235	1.0	1.0	-853912.1046284817	0.0	44.31321456715292
545000	-854101.2454014452	-186.3751895259556	-853914.8702119192	0.32723116457809437	5.735371759381128	0.4808288063823365	1.0	1.0	-853914.8702119192	0.0	44.15183020565371
550000	-854100.6740465479	-188.2624477585472	-853912.4115987893	0.3292045369920015	7.953345761354116	0.485044309610089	1.0	1.0	-853912.4115987893	0.0	42.27300297951759
555000	-854102.8789424585	-186.55794775684393	-853916.3209947017	0.3300982720137314	5.599580719953092	0.48163108533191057	1.0	1.0	-853916.3209947017	0.0	43.97067653266454
560000	-854092.3439028547	-186.16884505395808	-853906.1750578007	0.32733668608715455	6.039034248030437	0.48500919827292666	1.0	1.0	-853906.1750578007	0.0	44.366535461432434
565000	-854098.757314132	-186.63758485687183	-853912.1197292751	0.3295729440688299	7.076285993181591	0.4837424470303562	1.0	1.0	-853912.1197292751	0.0	43.8952621560335
570000	-854119.1398871442	-186.70007895255733	-853932.4398081916	0.3264617928200553	6.944935186891455	0.48294985879184343	1.0	1.0	-853932.4398081916	0.0	43.83118288387099
575000	-854101.079120502	-186.243248943639	-853914.8358715584	0.3306217608146828	5.846983971714546	0.48183455449940377	1.0	1.0	-853914.8358715584	0.0	44.285782284204416
580000	-854107.6840693819	-185.85570463745756	-853921.8283647444	0.3269007979991342	6.198732774595773	0.48412789585146143	1.0	1.0	-853921.8283647444	0.0	44.67791327309
585000	-854107.7649658805	-185.6748261343319	-853922.0901397462	0.3269007979991342	6.363329031712095	0.4786278704880118	1.0	1.0	-853922.0901397462	0.0	44.84779172548874
590000	-854100.3856472323	-185.90943922368683	-853914.4762080086	0.325892964595166	6.047945977485599	0.48197076518677734	1.0	1.0	-853914.4762080086	0.0	44.61986442553136
595000	-854100.9196484368	-186.94090414267242	-853913.9787442941	0.32552901510223065	7.404015372242736	0.4828163491588865	1.0	1.0	-853913.9787442941	0.0	43.59009067448997
600000	-854113.8401184911	-186.54012058188658	-853927.2999979092	0.3296919423933446	7.207102523835208	0.4743476110456348	1.0	1.0	-853927.2999979092	0.0	43.973936759049295
605000	-854106.5085609311	-187.0604883128021	-853919.4480726182	0.32428048686130223	4.881647224461614	0.4824057714268589	1.0	1.0	-853919.4480726182	0.0	43.46968534889623
610000	-854097.6929880155	-185.87754352396402	-853911.8154444916	0.32441184723155214	5.537007393715791	0.4824057714268589	1.0	1.0	-853911.8154444916	0.0	44.65263013773433
615000	-854097.1276490823	-186.0307286882578	-853911.0969203941	0.32877870226776157	6.831508774603986	0.4824057714268589	1.0	1.0	-853911.0969203941	0.0	44.49944497344055
620000	-854098.5438092452	-185.69335730699498	-853912.8504519382	0.3279473240117407	5.901931941488247	0.48066292946882355	1.0	1.0	-853912.8504519382	0.0	44.833330670787284
625000	-854096.0512756227	-185.93788752043224	-853910.1133881023	0.3273972351601113	5.870535983328512	0.47572866413844467	1.0	1.0	-853910.1133881023	0.0	44.57893192668929
630000	-854097.3412170172	-186.7756235215735	-853910.5655934956	0.3281117106892618	5.147729545799078	0.4768335002370093	1.0	1.0	-853910.5655934956	0.0	43.74340559774514
635000	-854110.5517115068	-186.97994387383807	-853923.571767633	0.32500037374425544	5.10071487513974	0.4805475321648915	1.0	1.0	-853923.571767633	0.0	43.54651330933634
640000	-854114.3119065765	-186.77745046694943	-853927.5344561095	0.32676297482906896	7.322389354264082	0.4845414860302148	1.0	1.0	-853927.5344561095	0.0	43.75699462395561
645000	-854099.0650276961	-186.73980771724436	-853912.3252199788	0.33195707778691697	6.761798625749432	0.48532182189021933	1.0	1.0	-853912.3252199788	0.0	43.79619804538073
650000	-854098.4040637653	-186.5973636973589	-853911.806700068	0.3319240780881519	6.7249284225756725	0.48715034123940953	1.0	1.0	-853911.806700068	0.0	43.94229910396456
655000	-854107.8145017124	-186.38352332555095	-853921.4309783869	0.3319240780881519	5.845343173975024	0.48715034123940953	1.0	1.0	-853921.4309783869	0.0	44.156139475772505
660000	-854106.7539111396	-186.7958515158461	-853919.9580596237	0.3292501975292289	5.201167492395089	0.48715034123940953	1.0	1.0	-853919.9580596237	0.0	43.74381128547737
665000	-854108.7932676433	-186.3862024398616	-853922.4070652034	0.33062480268536154	6.774494990229112	0.48109932343475437	1.0	1.0	-853922.4070652034	0.0	44.14135832585256
670000	-854090.0138782106	-186.77868656884834	-853903.2351916417	0.3288168637373792	5.4470752203348445	0.4844383594124988	1.0	1.0	-853903.2351916417	0.0	43.75555226882127
675000	-854091.9580891102	-186.79962877433317	-853905.1584603359	0.3275146791701418	5.387025911313925	0.4819257929376769	1.0	1.0	-853905.1584603359	0.0	43.7295849303868
680000	-854101.2462111616	-187.1150961325924	-853914.131115029	0.32836711231881077	5.111192846555743	0.4844280306483062	1.0	1.0	-853914.131115029	0.0	43.419122047548825
685000	-854095.6562607277	-186.4561659391754	-853909.2000947885	0.331930903986467	6.122743216949092	0.48020563240872594	1.0	1.0	-853909.2000947885	0.0	44.06960744448667
690000	-854110.8364778189	-188.24246122312775	-853922.5940165957	0.3309614219632266	7.977615474719246	0.4855323418336193	1.0	1.0	-853922.5940165957	0.0	42.293965579384114
